lab,chemin_initial,verdict,chemin_retenu,source_type,source_ref,date_verif,note
mb800/labs/2.1-finance-setup.md,Tell Me (Alt+Q) > Chart of Accounts > (ouvrir un des comptes Posting créés) > Account Category,verifie_doc,Tell Me (Alt+Q) > Chart of Accounts > (ouvrir un des comptes Posting créés) > Account Category,doc-bc,docs-bc/business-central/quick-start-financial-information.md:44,2026-09-17,La doc ouvre la G/L Account Card depuis Chart of Accounts (l.35-36) et place Account Category parmi les champs de l'onglet General (l.37). Précision utile pour l'étape : le champ de sous-catégorie évoqué par le lab s'appelle Account Subcategory (l.45).
mb800/labs/2.1-finance-setup.md,Tell Me (Alt+Q) > G/L Account Categories,verifie_doc,Tell Me (Alt+Q) > G/L Account Categories,doc-bc,docs-bc/business-central/finance-general-ledger.md:74,2026-09-17,"« enter G/L Account Categories, then choose the related link ». Confirmé aussi labs-ms/Instructions/Labs/Lab12_Prepare_Financial_Reporting.md:30."
mb800/labs/2.1-finance-setup.md,Tell Me (Alt+Q) > Accounting Periods,verifie_doc,Tell Me (Alt+Q) > Accounting Periods,doc-bc,docs-bc/business-central/year-close-account-periods.md:20,2026-09-17,"« enter Accounting Periods, and then choose the related link », puis l.21 l'action Close Year sur cette page. Les labs officiels ecrivent « Accounting periods » en minuscule (labs-ms/Instructions/Labs/Lab01_Create_company.md:60, labs-ms/Instructions/Labs/Lab13_Manage_Accounting_Period.md:61) : simple casse, même page."
mb800/labs/2.1-finance-setup.md,Tell Me (Alt+Q) > Accounting Periods,verifie_doc,Tell Me (Alt+Q) > Accounting Periods,doc-bc,docs-bc/business-central/year-close-account-periods.md:20,2026-09-17,"Deuxième occurrence (étape 3.4). La même source atteste en outre l'action Close Year utilisée à cette étape (l.21) et précise l.26 qu'un exercice clos accepte encore des écritures, marquées Prior-Year Entry. Le batch Create Fiscal Year de l'étape 3.3 est attesté à docs-bc/business-central/finance-accounting-periods-and-fiscal-years.md:46."
mb800/labs/2.1-finance-setup.md,Tell Me (Alt+Q) > General Journal Templates > New,verifie_lab_ms,Tell Me (Alt+Q) > General Journal Templates > New,labs-ms,labs-ms/Instructions/Labs/Lab08_Set_up_Accounts_Payable.md:83,2026-09-17,"« enter General Journal Templates, and then choose the related link » puis l.84 « select + New ». Idem labs-ms/Instructions/Labs/Lab09_Set_up_General_Journals.md:31-32."
mb800/labs/2.1-finance-setup.md,Tell Me (Alt+Q) > General Journal Templates > (sélectionner ton template) > Batches,verifie_lab_ms,Tell Me (Alt+Q) > General Journal Templates > (sélectionner ton template) > Batches,labs-ms,labs-ms/Instructions/Labs/Lab08_Set_up_Accounts_Payable.md:93,2026-09-17,"Meme page, même séquence : « In the General Journal Templates page, make sure the EUROP journal is selected » (l.92) puis « Select Batches » (l.93) ouvrant la page General Journal Batches (l.94). Répété a labs-ms/Instructions/Labs/Lab09_Set_up_General_Journals.md:41-43."
mb800/labs/2.1-finance-setup.md,Tell Me (Alt+Q) > General Journals > (Batch Name = ton batch),verifie_lab_ms,Tell Me (Alt+Q) > General Journals > (Batch Name = ton batch),labs-ms,labs-ms/Instructions/Labs/Lab13_Manage_Accounting_Period.md:103,2026-09-17,"« enter General Journals, and then choose the related link » (l.103) puis « On the Batch Name field, select CLOSE value » (l.106) : même page, même séquence. Champ Batch Name confirmé par la doc docs-bc/business-central/receivables-how-apply-sales-transactions-manually.md:40."
mb800/labs/2.3-posting-groups.md,Sales > Customers > (ouvrir le client) > Invoicing FastTab,corrige,Tell Me (Alt+Q) > Customers > (ouvrir le client) > Invoicing FastTab,labs-ms,labs-ms/Instructions/Labs/Lab15_Set_up_Accounts_Receivable.md:141,2026-09-17,"Lab officiel : fiche client ouverte, « Go to the Invoicing FastTab » (l.141) puis Gen. Bus. Posting Group (l.142) et Customer Posting Group (l.143) — exactement les deux champs relevés a l'étape. Onglet Invoicing de la fiche client confirmé par la doc docs-bc/business-central/finance-setup-vat.md:224. Réserve : le segment de tête « Sales > » n'est attesté nulle part dans le corpus (barre de navigation dependante du Role Center) ; les labs atteignent Customers par l'icône de recherche (labs-ms/Instructions/Labs/Lab15_Set_up_Accounts_Receivable.md:123). Prefixe 'Sales >' remplace par l'acces Tell Me : la barre de navigation depend du Role Center et n'est attestee nulle part dans le corpus, alors que la page l'est."
mb800/labs/2.3-posting-groups.md,Tell Me (Alt+Q) > Items > (ouvrir l'article) > Invoicing FastTab,corrige,Tell Me (Alt+Q) > Items > (ouvrir l'article) > Costs & Posting FastTab,doc-bc,docs-bc/business-central/finance-how-defer-revenue-expenses.md:62,2026-09-17,"La doc décrit la MÊME séquence sur la MÊME page — « enter Items, and then choose the related link » (l.59), « Open the card for the item » (l.60), « On the Costs & Posting FastTab » (l.62) — et place la les champs de posting de l'article. Aucune source du corpus ne place d'onglet Invoicing sur la fiche article : les occurrences d'Invoicing FastTab concernent le client, le fournisseur, la ressource ou les documents de vente. Le lab officiel labs-ms/Instructions/Labs/Lab16_Set_up_Inventory.md:172-174 place bien Gen. Prod. Posting Group et Inventory Posting Group sur l'onglet « Cost & Posting » (d'un Item Template). Divergence de libellé entre sources : « Costs & Posting » (docs-bc/business-central/finance-how-defer-revenue-expenses.md:62, docs-bc/business-central/finance-how-setup-report-intrastat-v20.md:91) et « Cost & Posting » (docs-bc/business-central/finance-how-setup-report-intrastat.md:267, labs-ms/Instructions/Labs/Lab16_Set_up_Inventory.md:172) ; je retiens la forme de la source qui décrit la séquence exacte."
mb800/labs/2.3-posting-groups.md,Tell Me (Alt+Q) > General Business Posting Groups > New,corrige,Tell Me (Alt+Q) > Gen. Business Posting Groups > New,doc-bc,docs-bc/business-central/finance-posting-groups.md:39,2026-09-17,La doc nomme explicitement la page : « Set up these posting groups on the Gen. Business Posting Groups page ». Le lab officiel dit la même chose deux fois : « enter Gen. Business Posting Groups and then choose the related link » et « In the Gen. Business Posting Groups page » (labs-ms/Instructions/Labs/Lab07_Configure_Chart_of_Accts.md:202-203). Aucune source du corpus n'ecrit « General Business Posting Groups » comme nom de page. Chemin affirme SANS ? et pourtant faux.
mb800/labs/2.3-posting-groups.md,Tell Me (Alt+Q) > General Product Posting Groups > New,verifie_lab_ms,Tell Me (Alt+Q) > General Product Posting Groups > New,labs-ms,labs-ms/Instructions/Labs/Lab07_Configure_Chart_of_Accts.md:196,2026-09-17,"Lab officiel : « enter General Product Posting Groups and then choose the related link » puis l.197 « In the General Product Posting Groups page, select + New ». DIVERGENCE a signaler : la doc nomme cette même page « Gen. Product Posting Groups » (docs-bc/business-central/finance-posting-groups.md:40), en symétrie de Gen. Business Posting Groups. Deux libellés coexistent dans les sources officielles ; Tell Me retrouve la page dans les deux formulations."
mb800/labs/2.3-posting-groups.md,Tell Me (Alt+Q) > General Posting Setup > New,verifie_lab_ms,Tell Me (Alt+Q) > General Posting Setup > New,labs-ms,labs-ms/Instructions/Labs/Lab07_Configure_Chart_of_Accts.md:207,2026-09-17,« enter General Posting Setup and then choose the related link » puis l.208 « select + New » et l.209-211 les champs Gen. Bus. Posting Group / Gen. Prod. Posting Group. Page confirmée par la doc docs-bc/business-central/finance-posting-groups.md:41 et docs-bc/business-central/finance-work-with-vat.md:154.
mb800/labs/2.3-posting-groups.md,Sales > Customers > (ouvrir le client) > Invoicing FastTab,corrige,Tell Me (Alt+Q) > Customers > (ouvrir le client) > Invoicing FastTab,labs-ms,labs-ms/Instructions/Labs/Lab15_Set_up_Accounts_Receivable.md:141,2026-09-17,"Deuxième occurrence (étape 3.4). Lab officiel : fiche client ouverte, « Go to the Invoicing FastTab » (l.141) puis Gen. Bus. Posting Group (l.142) et Customer Posting Group (l.143) — exactement les deux champs relevés a l'étape. Onglet Invoicing de la fiche client confirmé par la doc docs-bc/business-central/finance-setup-vat.md:224. Réserve : le segment de tête « Sales > » n'est attesté nulle part dans le corpus (barre de navigation dependante du Role Center) ; les labs atteignent Customers par l'icône de recherche (labs-ms/Instructions/Labs/Lab15_Set_up_Accounts_Receivable.md:123). Prefixe 'Sales >' remplace par l'acces Tell Me : la barre de navigation depend du Role Center et n'est attestee nulle part dans le corpus, alors que la page l'est."
mb800/labs/2.3-posting-groups.md,Tell Me (Alt+Q) > Items > (ouvrir l'article) > Invoicing FastTab,corrige,Tell Me (Alt+Q) > Items > (ouvrir l'article) > Costs & Posting FastTab,doc-bc,docs-bc/business-central/finance-how-defer-revenue-expenses.md:62,2026-09-17,"Deuxième occurrence (étape 3.4). La doc décrit la MÊME séquence sur la MÊME page — « enter Items, and then choose the related link » (l.59), « Open the card for the item » (l.60), « On the Costs & Posting FastTab » (l.62) — et place la les champs de posting de l'article. Aucune source du corpus ne place d'onglet Invoicing sur la fiche article : les occurrences d'Invoicing FastTab concernent le client, le fournisseur, la ressource ou les documents de vente. Le lab officiel labs-ms/Instructions/Labs/Lab16_Set_up_Inventory.md:172-174 place bien Gen. Prod. Posting Group et Inventory Posting Group sur l'onglet « Cost & Posting » (d'un Item Template). Divergence de libellé entre sources : « Costs & Posting » (docs-bc/business-central/finance-how-defer-revenue-expenses.md:62, docs-bc/business-central/finance-how-setup-report-intrastat-v20.md:91) et « Cost & Posting » (docs-bc/business-central/finance-how-setup-report-intrastat.md:267, labs-ms/Instructions/Labs/Lab16_Set_up_Inventory.md:172) ; je retiens la forme de la source qui décrit la séquence exacte."
mb800/labs/2.3-posting-groups.md,Sales > Sales Invoices > New,corrige,Tell Me (Alt+Q) > Sales Invoices > New,doc-bc,docs-bc/business-central/sales-how-invoice-sales.md:38,2026-09-17,"Nom de page attesté : « enter Sales Invoices, and then choose the related link ». Réserves : (1) le segment de tête « Sales > » n'est attesté nulle part dans le corpus (barre de navigation dependante du Role Center) ; (2) aucune source ne décrit d'action New sur la page Sales Invoices — la doc enchaîne directement sur le champ Customer Name (l.39), et la fiche ouverte s'appelle Sales Invoice au singulier (docs-bc/business-central/LocalFunctionality/Spain/enable-real-time-invoice-reporting.md:128). Prefixe 'Sales >' remplace par l'acces Tell Me : la barre de navigation depend du Role Center et n'est attestee nulle part dans le corpus, alors que la page l'est."
mb800/labs/2.3-posting-groups.md,"Tell Me (Alt+Q) > Items > (ouvrir un second article, avec un Gen. Prod. Posting Group différent) > Invoicing FastTab",corrige,"Tell Me (Alt+Q) > Items > (ouvrir un second article, avec un Gen. Prod. Posting Group différent) > Costs & Posting FastTab",doc-bc,docs-bc/business-central/finance-how-defer-revenue-expenses.md:62,2026-09-17,"Troisième occurrence (étape 3.6). La doc décrit la MÊME séquence sur la MÊME page — « enter Items, and then choose the related link » (l.59), « Open the card for the item » (l.60), « On the Costs & Posting FastTab » (l.62) — et place la les champs de posting de l'article. Aucune source du corpus ne place d'onglet Invoicing sur la fiche article : les occurrences d'Invoicing FastTab concernent le client, le fournisseur, la ressource ou les documents de vente. Le lab officiel labs-ms/Instructions/Labs/Lab16_Set_up_Inventory.md:172-174 place bien Gen. Prod. Posting Group et Inventory Posting Group sur l'onglet « Cost & Posting » (d'un Item Template). Divergence de libellé entre sources : « Costs & Posting » (docs-bc/business-central/finance-how-defer-revenue-expenses.md:62, docs-bc/business-central/finance-how-setup-report-intrastat-v20.md:91) et « Cost & Posting » (docs-bc/business-central/finance-how-setup-report-intrastat.md:267, labs-ms/Instructions/Labs/Lab16_Set_up_Inventory.md:172) ; je retiens la forme de la source qui décrit la séquence exacte."
mb800/labs/2.3-posting-groups.md,Sales > Sales Invoices > New,corrige,Tell Me (Alt+Q) > Sales Invoices > New,doc-bc,docs-bc/business-central/sales-how-invoice-sales.md:38,2026-09-17,"Deuxième occurrence (étape 3.6). Nom de page attesté : « enter Sales Invoices, and then choose the related link ». Réserves : (1) le segment de tête « Sales > » n'est attesté nulle part dans le corpus (barre de navigation dependante du Role Center) ; (2) aucune source ne décrit d'action New sur la page Sales Invoices — la doc enchaîne directement sur le champ Customer Name (l.39), et la fiche ouverte s'appelle Sales Invoice au singulier (docs-bc/business-central/LocalFunctionality/Spain/enable-real-time-invoice-reporting.md:128). Prefixe 'Sales >' remplace par l'acces Tell Me : la barre de navigation depend du Role Center et n'est attestee nulle part dans le corpus, alors que la page l'est."
mb800/labs/2.3-posting-groups.md,Tell Me (Alt+Q) > Customer Posting Groups > (ouvrir le Customer Posting Group du client test),verifie_lab_ms,Tell Me (Alt+Q) > Customer Posting Groups > (ouvrir le Customer Posting Group du client test),labs-ms,labs-ms/Instructions/Labs/Lab15_Set_up_Accounts_Receivable.md:99,2026-09-17,"« enter Customer Posting Groups, and then choose the related link » (l.99), puis ouverture de la Customer Posting Group Card (l.101) et champ Receivables Account (l.102) — le champ même relevé a l'étape. Page confirmée par la doc docs-bc/business-central/finance-posting-groups.md:49 et docs-bc/business-central/finance-payment-tolerance-and-payment-discount-tolerance.md:46."
mb800/labs/2.3-posting-groups.md,Sales > Posted Sales Invoices > (ouvrir la facture postée de l'étape 3.5) > Navigate,corrige,Tell Me (Alt+Q) > Posted Sales Invoices > (ouvrir la facture postée de l'étape 3.5) > Find entries,doc-bc,docs-bc/business-central/ui-find-entries.md:25,2026-09-17,"La doc nomme l'action : « From pages that specifically display posted documents or posted document entries — for both lists and cards — you can also open the feature by choosing the Find entries action » (raccourci Ctrl+Alt+Q). « Navigate » est l'ANCIEN nom, la doc l'écrit elle-même comme tel : « the Navigate (Find Entries) results » (docs-bc/business-central/subcontract-wip-transfers.md:120). Le lab officiel utilise « Find entries » (labs-ms/Instructions/Labs/Lab23_Perform_Finance_Operations.md:247). Réserve : le segment de tête « Sales > » reste non attesté ; la page Posted Sales Invoices est attestée à labs-ms/Instructions/Labs/Lab20_Process_Sales.md:234 et docs-bc/business-central/ui-how-send-documents-email.md:31. Navigate subsiste comme groupe de ruban pour d'autres usages (ex. Navigate > Sales Prices) ; seul l'acces aux ecritures depuis un document valide a ete renomme Find entries. Prefixe 'Sales >' remplace par l'acces Tell Me : la barre de navigation depend du Role Center et n'est attestee nulle part dans le corpus, alors que la page l'est."
mb800/labs/2.1.8-currency-exchange-rates.md,Tell Me (Alt+Q) > Currencies > New,verifie_doc,Tell Me (Alt+Q) > Currencies > New,doc-bc,docs-bc/business-central/finance-how-setup-additional-currencies.md:53,2026-09-17,"« enter Currencies, and then choose the related link », puis l.54 « On the Currencies page, fill in the following fields » avec Realized/Unrealized/Residual Gains et Losses Account — les champs de l'étape (voir aussi docs-bc/business-central/finance-set-up-currencies.md:34-37 et 53-54). Réserve : aucune source du corpus ne décrit d'action New sur la page Currencies ; la doc y renseigne des lignes directement dans la liste."
mb800/labs/2.1.8-currency-exchange-rates.md,Tell Me (Alt+Q) > Currency Exchange Rates,verifie_doc,Tell Me (Alt+Q) > Currency Exchange Rates,doc-bc,docs-bc/business-central/finance-set-up-currencies.md:105,2026-09-17,"Nom de page attesté (« retain historical exchange rates in the Currency Exchange Rates page »), de même que les champs de l'étape à docs-bc/business-central/finance-how-update-currencies.md:34. Réserve : le corpus n'y accède jamais directement par Tell Me — il passe par Currencies puis l'action Exch. Rates (docs-bc/business-central/LocalFunctionality/Switzerland/how-to-adjust-exchange-rates.md:29-31)."
mb800/labs/2.1.8-currency-exchange-rates.md,Tell Me (Alt+Q) > Sales Invoice > New,corrige,Tell Me (Alt+Q) > Sales Invoices > New,doc-bc,docs-bc/business-central/sales-how-invoice-sales.md:38,2026-09-17,"La doc donne l'entrée Tell Me au pluriel : « enter Sales Invoices, and then choose the related link ». Le singulier « Sales Invoice » est le nom de la FICHE qui s'ouvre, pas de la liste : « enter Sales Invoices ... The Sales Invoice page displays » (docs-bc/business-central/LocalFunctionality/Spain/enable-real-time-invoice-reporting.md:128). Le lab 2.2 écrit d'ailleurs déjà « Sales Invoices » : incohérence interne au lot. Réserve inchangée : aucune action New attestée sur cette page."
mb800/labs/2.1.8-currency-exchange-rates.md,Tell Me (Alt+Q) > Adjust Exchange Rates,verifie_doc,Tell Me (Alt+Q) > Adjust Exchange Rates,doc-bc,docs-bc/business-central/LocalFunctionality/Switzerland/how-to-adjust-exchange-rates.md:33,2026-09-17,"« enter Adjust Exchange Rates, and then choose the related link », puis l.34-38 l'onglet Options avec Starting Date et Ending Date — les champs de l'étape. Réserve : l'attestation en tant qu'entree Tell Me vient d'un article de localisation suisse ; le nom du batch job Adjust Exchange Rates est lui confirmé par la doc centrale (docs-bc/business-central/finance-set-up-currencies.md:67, docs-bc/business-central/finance-how-update-currencies.md:119, docs-bc/business-central/ui-how-run-batch-jobs.md:16)."
mb800/labs/2.1.8-currency-exchange-rates.md,Tell Me (Alt+Q) > Customer Ledger Entries,verifie_doc,Tell Me (Alt+Q) > Customer Ledger Entries,doc-bc,docs-bc/business-central/analysis-mode.md:38,2026-09-17,"« to work with the Customer Ledger Entries page, select the Tell Me icon (Alt+Q), enter customer ledger entries, and then choose the related link » — le raccourci Alt+Q y est explicite. Page confirmée a docs-bc/business-central/receivables-how-apply-sales-transactions-manually.md:19."
mb800/labs/2.1.8-currency-exchange-rates.md,Tell Me (Alt+Q) > Cash Receipt Journals,verifie_doc,Tell Me (Alt+Q) > Cash Receipt Journals,doc-bc,docs-bc/business-central/receivables-how-apply-sales-transactions-manually.md:38,2026-09-17,"« enter Cash Receipt Journals, and then choose the related link », puis l.40 le champ Batch Name et la suite décrit Apply Entries — le traitement de l'étape. Confirmé par labs-ms/Instructions/Labs/Lab24_Reconcile_Customer_Vendor.md:69 (« enter Cash Receipt journals »)."
mb800/labs/2.1.8-currency-exchange-rates.md,Tell Me (Alt+Q) > General Ledger Setup,verifie_doc,Tell Me (Alt+Q) > General Ledger Setup,doc-bc,docs-bc/business-central/finance-how-setup-additional-currencies.md:104,2026-09-17,"Section « Activate the ACY » : « enter General Ledger Setup, and then choose the related link » (l.104) puis « On the General Ledger Setup page, in the Additional Reporting Currency field » (l.105) — même page, même champ que l'étape 3.7. La source confirme aussi l'avertissement du lab : l'activation déclenche le batch Adjust Add. Reporting Currency qui reconvertit les écritures existantes (l.108-110)."
mb800/labs/2.6-accounts-receivable-setup.md,Tell Me (Alt+Q) > Payment Terms > New,verifie_doc,Tell Me (Alt+Q) > Payment Terms > New,doc-bc,docs-bc/business-central/finance-payment-terms.md:27,2026-09-17,"Acces Tell Me atteste mot pour mot (""enter **Payment Terms**, and then choose the related link""). Lab15:146 atteste la meme page avec l'action ""+ New"". La source rattache bien le calcul de l'escompte et la payment discount date aux payment terms (docs-bc/business-central/finance-payment-terms.md:19)."
mb800/labs/2.6-accounts-receivable-setup.md,Tell Me (Alt+Q) > Payment Methods > New,verifie_doc,Tell Me (Alt+Q) > Payment Methods > New,doc-bc,docs-bc/business-central/finance-make-payments-with-bank-data-conversion-service-or-sepa-credit-transfer.md:89,2026-09-17,"Acces Tell Me atteste a l'identique. Lab15:154 atteste la page Payment Methods ouverte avec ""+ New"" et ses champs Code / Description / Bal. Account Type / Bal. Account No."
mb800/labs/2.6-accounts-receivable-setup.md,Tell Me (Alt+Q) > Customer Posting Groups > (ouvrir ou créer le Customer Posting Group du client test),verifie_lab_ms,Tell Me (Alt+Q) > Customer Posting Groups > (ouvrir ou créer le Customer Posting Group du client test),labs-ms,labs-ms/Instructions/Labs/Lab15_Set_up_Accounts_Receivable.md:99,2026-09-17,"Lab officiel: ""enter Customer Posting Groups, and then choose the related link"", puis ""+ New"" (Lab15:100,104). Lab15:113-114 atteste Interest Account et Additional Fee Account sur cette page. Meme acces par Tell Me dans la doc: docs-bc/business-central/finance-how-enable-application-ledger-entries-different-currencies.md:41. docs-bc/business-central/receivables-collect-outstanding-balances.md:100 confirme que ce sont ces comptes qui recoivent interets et frais."
mb800/labs/2.6-accounts-receivable-setup.md,Sales > Customers > (ouvrir le client test) > Invoicing FastTab,corrige,Tell Me (Alt+Q) > Customers > (ouvrir le client test) > Payments FastTab,labs-ms,labs-ms/Instructions/Labs/Lab15_Set_up_Accounts_Receivable.md:141;labs-ms/Instructions/Labs/Lab15_Set_up_Accounts_Receivable.md:144,2026-09-17,"Le lab officiel contredit l'onglet: sur la fiche client, l'onglet Invoicing porte Gen. Bus. Posting Group et Customer Posting Group (Lab15:141-143), tandis que Payment Terms Code (Lab15:144-145) et Payment Method Code (Lab15:152-153) sont sur l'onglet Payments. L'etape 3.4 renseigne justement ces deux derniers champs. Reserve: le fil de menu ""Sales >"" n'est atteste nulle part dans le corpus - doc et labs officiels atteignent Customers par Tell Me / l'icone de recherche (docs-bc/business-central/receivables-how-block-customers.md:28, Lab15:123); il n'a donc pas ete corrige faute de source. Prefixe 'Sales >' remplace par l'acces Tell Me : la barre de navigation depend du Role Center et n'est attestee nulle part dans le corpus, alors que la page l'est."
mb800/labs/2.6-accounts-receivable-setup.md,Sales > Sales Invoices > New,verifie_doc,Tell Me (Alt+Q) > Sales Invoices > New,doc-bc,docs-bc/business-central/sales-how-invoice-sales.md:38,2026-09-17,"Le nom de page ""Sales Invoices"" est bien atteste (docs-bc/business-central/sales-how-invoice-sales.md:38, procedure ""To create a sales invoice""), mais le fil de menu ""Sales >"" du Role Center n'apparait ni dans les 2643 fichiers de doc ni dans les 25 labs officiels: tous passent par Tell Me / l'icone de recherche. Chemin vraisemblable mais non atteste, donc non conclu. Prefixe 'Sales >' remplace par l'acces Tell Me : la barre de navigation depend du Role Center et n'est attestee nulle part dans le corpus, alors que la page l'est."
mb800/labs/2.6-accounts-receivable-setup.md,Tell Me (Alt+Q) > Reminder Terms > New,verifie_doc,Tell Me (Alt+Q) > Reminder Terms > New,doc-bc,docs-bc/business-central/finance-setup-reminders.md:41,2026-09-17,"Acces Tell Me atteste a l'identique (aussi docs-bc/business-central/finance-how-to-set-up-multiple-interest-rates.md:28). Nuance de la source pour l'etape 3.6: les niveaux ne se saisissent pas sur des lignes de la page Reminder Terms mais via l'action **Levels** de cette page (docs-bc/business-central/finance-setup-reminders.md:53-54), qui ouvre la page Reminder Levels."
mb800/labs/2.6-accounts-receivable-setup.md,Tell Me (Alt+Q) > Finance Charge Terms > New,verifie_doc,Tell Me (Alt+Q) > Finance Charge Terms > New,doc-bc,docs-bc/business-central/finance-setup-finance-charges.md:39,2026-09-17,"Acces Tell Me atteste a l'identique (aussi docs-bc/business-central/finance-how-to-set-up-multiple-interest-rates.md:24). La source confirme que Interest Rate est un champ des finance charge terms (docs-bc/business-central/finance-setup-finance-charges.md:33 et tableau des placeholders, %3 = champ Interest Rate des related finance charge terms), ce qui leve le doute formule dans l'etape 3.7."
